dialogue,label
Patient: Seasonal allergies and sneezing. Doctor: standard outpatient care is enough.,routine
Patient: Moderate dehydration after diarrhea all day. Doctor: same-day care tonight.,urgent
"Patient: Deep cut on hand, still bleeding slowly. Doctor: immediate care for wound management.",urgent
Patient: Annual diabetes review with no new symptoms. Doctor: regular check-up.,routine
Patient: Occasional knee pain when climbing stairs. Doctor: Schedule scheduled clinic visit.,routine
Patient: Migraine with repeated vomiting right now. Doctor: immediate assessment recommended.,urgent
Patient: Follow-up for stable thyroid levels. Doctor: regular consultation next week.,routine
Patient: I need refill for blood pressure medicine. Doctor: scheduled follow-up is fine.,routine
Patient: I have burning urination and fever for one day. Doctor: Come to same-day care today.,urgent
Patient: High fever and stiff neck since morning. Doctor: Go to ER department.,emergency
Patient: Blood sugar very high with excessive thirst. Doctor: Come urgently for evaluation.,urgent
Patient: Sudden weakness on one side and slurred speech. Doctor: Call acute services.,emergency
Patient: Occasional knee pain when climbing stairs. Doctor: Schedule regular clinic visit.,routine
Patient: Asthma inhaler is not helping much this morning. Doctor: Please visit same-day clinic.,urgent
"Patient: Deep cut on hand, still bleeding slowly. Doctor: immediate care for wound management.",urgent
"Patient: Deep cut on hand, still bleeding slowly. Doctor: prompt care for wound management.",urgent
Patient: Persistent chest pressure radiating to arm. Doctor: emergency care immediately.,emergency
Patient: Asthma inhaler is not helping much today. Doctor: Please visit immediate clinic.,urgent
Patient: Painful swollen ankle after fall. Doctor: prompt x-ray and exam needed.,urgent
Patient: I fainted and now feel confused. Doctor: You need emergency evaluation.,emergency
Patient: Follow-up for stable thyroid levels. Doctor: scheduled consultation next week.,routine
Patient: strong allergic reaction with lip swelling. Doctor: This is an acute.,emergency
Patient: Follow-up for stable thyroid levels. Doctor: scheduled consultation next week.,routine
Patient: Seasonal allergies and sneezing. Doctor: scheduled outpatient care is enough.,routine
Patient: Intense abdominal pain with guarding and sweating. Doctor: Visit ER now.,emergency
Patient: Breathlessness at rest and blue lips. Doctor: Go to acute now.,emergency
Patient: Breathlessness at rest and blue lips. Doctor: Go to emergency now.,emergency
Patient: Migraine with repeated vomiting right now. Doctor: immediate assessment recommended.,urgent
