dialogue,label
"Patient: I have moderate moderate dehydration today, despite home care. Doctor: Urgent outpatient assessment is recommended.",urgent
"Patient: I have unchanged stable chronic back pain intermittently, without red flags. Doctor: Routine follow-up is appropriate.",routine
"Patient: I have rapidly worsening shortness of breath at rest for 20 minutes, with sweating. Doctor: This requires emergency department evaluation now.",emergency
"Patient: I have worsening ear pain with fever for one day, with poor appetite. Doctor: Please attend urgent clinic within 24 hours.",urgent
"Patient: I have worsening ankle swelling after fall since last night, with fatigue. Doctor: Visit urgent care the same day.",urgent
"Patient: I have unchanged seasonal allergies for a few days, no acute distress. Doctor: Continue home care and review routinely.",routine
"Patient: I have unchanged mild sore throat intermittently, non-urgent. Doctor: Schedule a routine clinic appointment.",routine
"Patient: I have severe one-sided weakness for 20 minutes, while resting. Doctor: Call emergency services immediately.",emergency
"Patient: I have concerning high fever with cough today, with poor appetite. Doctor: Visit urgent care the same day.",urgent
"Patient: I have very severe new seizure suddenly today, after exercise. Doctor: This requires emergency department evaluation now.",emergency
"Patient: I have persistent persistent vomiting today, with poor appetite. Doctor: Urgent outpatient assessment is recommended.",urgent
"Patient: I have rapidly worsening slurred speech for 20 minutes, with dizziness. Doctor: Go to emergency now.",emergency
"Patient: I have mild seasonal allergies intermittently, non-urgent. Doctor: Schedule a routine clinic appointment.",routine
"Patient: I have rapidly worsening slurred speech suddenly today, after exercise. Doctor: Do not delay urgent transport to ER.",emergency
"Patient: I have low-grade occasional knee discomfort for a few days, no acute distress. Doctor: Book a non-urgent outpatient visit.",routine
"Patient: I have very severe shortness of breath at rest for 1 hour, with sweating. Doctor: Call emergency services immediately.",emergency
"Patient: I have persistent painful urination for one day, despite home care. Doctor: Visit urgent care the same day.",urgent
"Patient: I have worsening ankle swelling after fall today, affecting daily activity. Doctor: Please attend urgent clinic within 24 hours.",urgent
"Patient: I have very severe shortness of breath at rest for 20 minutes, after exercise. Doctor: Call emergency services immediately.",emergency
"Patient: I have critical confusion after fainting for 1 hour, while resting. Doctor: Do not delay urgent transport to ER.",emergency
"Patient: I have critical slurred speech for 20 minutes, with sweating. Doctor: Do not delay urgent transport to ER.",emergency
"Patient: I have persistent migraine with nausea for one day, affecting daily activity. Doctor: Urgent outpatient assessment is recommended.",urgent
"Patient: I have low-grade nutrition counseling request intermittently, without red flags. Doctor: Schedule a routine clinic appointment.",routine
"Patient: I have critical shortness of breath at rest for 1 hour, after exercise. Doctor: This requires emergency department evaluation now.",emergency
"Patient: I have concerning migraine with nausea since last night, with fatigue. Doctor: Please attend urgent clinic within 24 hours.",urgent
"Patient: I have mild stable thyroid follow-up for a few days, no acute distress. Doctor: Schedule a routine clinic appointment.",routine
"Patient: I have worsening ear pain with fever for one day, with fatigue. Doctor: Please attend urgent clinic within 24 hours.",urgent
"Patient: I have moderate worsening abdominal pain since last night, with poor appetite. Doctor: Please attend urgent clinic within 24 hours.",urgent
"Patient: I have very severe vomiting blood suddenly today, while resting. Doctor: Do not delay urgent transport to ER.",emergency
"Patient: I have low-grade seasonal allergies for a few days, non-urgent. Doctor: Continue home care and review routinely.",routine
"Patient: I have worsening worsening abdominal pain today, despite home care. Doctor: Please attend urgent clinic within 24 hours.",urgent
"Patient: I have moderate worsening abdominal pain for two days, with poor appetite. Doctor: Urgent outpatient assessment is recommended.",urgent
"Patient: I have stable skin care concerns for a few days, without red flags. Doctor: Routine follow-up is appropriate.",routine
"Patient: I have low-grade sleep difficulty without alarm signs for a week, non-urgent. Doctor: Continue home care and review routinely.",routine
"Patient: I have persistent migraine with nausea for one day, with poor appetite. Doctor: Urgent outpatient assessment is recommended.",urgent
"Patient: I have critical new seizure for 1 hour, after exercise. Doctor: Do not delay urgent transport to ER.",emergency
"Patient: I have stable medicine refill request intermittently, manageable at home. Doctor: Continue home care and review routinely.",routine
"Patient: I have severe one-sided weakness since this morning, after exercise. Doctor: Go to emergency now.",emergency
"Patient: I have persistent painful urination for one day, despite home care. Doctor: Please attend urgent clinic within 24 hours.",urgent
"Patient: I have severe new seizure since this morning, after exercise. Doctor: Do not delay urgent transport to ER.",emergency
"Patient: I have very severe slurred speech suddenly today, with dizziness. Doctor: Go to emergency now.",emergency
"Patient: I have mild annual diabetes follow-up intermittently, manageable at home. Doctor: Schedule a routine clinic appointment.",routine
"Patient: I have very severe vomiting blood for 1 hour, while resting. Doctor: Call emergency services immediately.",emergency
"Patient: I have critical shortness of breath at rest for 1 hour, with sweating. Doctor: Call emergency services immediately.",emergency
"Patient: I have worsening asthma symptoms not improving for two days, with poor appetite. Doctor: Needs same-day clinical review.",urgent
"Patient: I have unchanged skin care concerns for months, non-urgent. Doctor: Routine follow-up is appropriate.",routine
"Patient: I have persistent eye pain with redness for one day, with fatigue. Doctor: Visit urgent care the same day.",urgent
